Sample,Date,Latitude,Longitude,Depth,Temperature,Salinity,Oxygen,Nitrate,Nitrogen Dioxide,Phosphate,Nitrate/Nitrite,Silicate,Size fraction lower threshold,Size fraction upper threshold
TARA_065_DCM_0.1-0.22,7/12/10 11:25,-35.25,26.31,28.7,21.8,,206.4,,,,,,0.1,0.22
TARA_065_DCM_0.22-3,7/12/10 11:25,-35.25,26.31,28.7,21.8,,206.4,,,,,,0.22,3.0
TARA_065_MES_0.22-3,7/12/10 10:31,-35.23,26.33,842.2,8.4,34.7,198.0,,,,,,0.22,3.0
TARA_065_SRF_<-0.22,7/12/10 6:46,-35.19,26.29,5.9,21.8,35.4,207.0,,,,,,,0.22
TARA_065_SRF_0.1-0.22,7/12/10 6:46,-35.19,26.29,5.9,21.8,35.4,207.0,,,,,,0.1,0.22
TARA_065_SRF_0.22-3,7/12/10 6:46,-35.19,26.29,5.9,21.8,35.4,207.0,,,,,,0.22,3.0
TARA_066_DCM_<-0.22,7/15/10 16:32,-34.89,18.07,28.6,15.0,35.3,240.4,,0.26,0.37,3.23,2.47,,0.22
TARA_066_DCM_0.22-3,7/15/10 16:32,-34.89,18.07,28.6,15.0,35.3,240.4,,0.26,0.37,3.23,2.47,0.22,3.0
TARA_066_SRF_<-0.22,7/15/10 12:26,-34.94,17.94,5.4,15.0,35.3,238.9,2.5,0.3,0.34,3.34,2.74,,0.22
TARA_066_SRF_0.22-3,7/15/10 12:26,-34.94,17.94,5.4,15.0,35.3,238.9,2.5,0.3,0.34,3.34,2.74,0.22,3.0
TARA_067_SRF_<-0.22,9/7/10 6:35,-32.23,17.71,5.5,12.8,34.8,249.4,0.4,0.17,1.02,7.09,13.88,,0.22
TARA_067_SRF_0.22-0.45,9/7/10 6:35,-32.23,17.71,5.5,12.8,34.8,249.4,0.4,0.17,1.02,7.09,13.88,0.22,0.45
TARA_067_SRF_0.22-3,9/7/10 6:35,-32.23,17.71,5.5,12.8,34.8,249.4,0.4,0.17,1.02,7.09,13.88,0.22,3.0
